dataset,n_clusters,n_init,affinity,n_neighbors,assign_labels,imputation,dataset_type,Train_time,rand_score,adjusted_rand_score,silhouette_score,adjusted_mutual_info_score,normalized_mutual_info_score
atom.csv,30,2,nearest_neighbors,38,discretize,None,Synthetic,0.08331051099230535,0.5339173967459324,0.06674453529117304,0.2694055256125225,0.33392415820324955,0.3399706727316514
atom.csv,36,15,rbf,4,kmeans,None,Synthetic,3.4839435379981296,0.7408635794743429,0.48144521959665165,0.5750697807104472,0.39837203299451773,0.4080561625447603
atom.csv,8,13,nearest_neighbors,31,discretize,None,Synthetic,0.05133088500588201,0.6353629536921152,0.2700585219300492,0.23659057581812706,0.5059111363632671,0.5075035865821442
atom.csv,15,19,nearest_neighbors,26,discretize,None,Synthetic,0.056485725988750346,0.5706351689612015,0.14034507246686453,0.28887410002535996,0.4085699858494366,0.4116774468018181
atom.csv,35,6,nearest_neighbors,34,kmeans,None,Synthetic,0.40885752499161754,0.5296433041301627,0.0581762641375528,0.2787239161013025,0.32140559172879674,0.32841143776777765
atom.csv,39,25,nearest_neighbors,3,kmeans,None,Synthetic,1.7392747620033333,0.5467334167709637,0.0925998726385389,-0.12123540044657442,0.269640534340911,0.27979931051259177
atom.csv,33,4,rbf,32,kmeans,None,Synthetic,1.7125161069998285,0.6844211514392992,0.3685917823680021,0.5009579397309887,0.32231586658085903,0.3328093595350485
atom.csv,25,5,nearest_neighbors,11,kmeans,None,Synthetic,0.5322881180036347,0.5441301627033792,0.08721731840870045,0.24526587568593855,0.35450546836424124,0.3596261840538292
atom.csv,22,18,rbf,5,discretize,None,Synthetic,1.7675105529924622,0.7645525657071339,0.5288267048928296,0.6061225399569815,0.4799148967146722,0.48485080474365766
atom.csv,18,24,nearest_neighbors,15,kmeans,None,Synthetic,1.4708521610009484,0.5610106382978723,0.12105407274012776,0.2926197762405511,0.38887425598071207,0.3926023969312628
atom.csv,35,9,nearest_neighbors,12,kmeans,None,Synthetic,0.491829370992491,0.5297246558197747,0.05833935153928849,0.2614896323611543,0.32160226464378194,0.3286125552799099
atom.csv,25,13,rbf,20,discretize,None,Synthetic,2.0729016500117723,0.7630444305381727,0.5258068599570129,0.6040196261474836,0.4691232976489499,0.47480063217034146
atom.csv,10,24,rbf,30,discretize,None,Synthetic,1.7152218769915635,0.7801939924906133,0.56014528670419,0.5974292720220601,0.56087972480024,0.5629110302511476
atom.csv,36,2,nearest_neighbors,14,kmeans,None,Synthetic,0.10262541800329927,0.5285294117647059,0.05594321456341514,0.2731369705356703,0.31876669186456413,0.3259574363960877
atom.csv,23,6,rbf,32,discretize,None,Synthetic,1.4788123129983433,0.7635325406758448,0.5267842396531311,0.6045663145439305,0.47492728807032436,0.4801042216102259
atom.csv,27,4,rbf,18,discretize,None,Synthetic,1.7768001220101723,0.7615425531914893,0.5227995228260816,0.6022044135990661,0.4606572173315083,0.4668128030325847
atom.csv,26,22,nearest_neighbors,19,discretize,None,Synthetic,0.07934649499657098,0.5396683354192741,0.07827314929723456,0.28750967737159505,0.34756072950326017,0.3528461538146002
atom.csv,8,26,nearest_neighbors,6,kmeans,None,Synthetic,0.2561307760042837,0.6360356695869838,0.27140641297130375,0.21908163900142533,0.5062699425224657,0.5078623735901974
atom.csv,23,14,rbf,36,kmeans,None,Synthetic,2.5679642179893563,0.6947371714643304,0.38922481907933115,0.5007396174038721,0.35410279532775585,0.36109857374341403
atom.csv,20,25,nearest_neighbors,18,discretize,None,Synthetic,0.14303523300623056,0.5537609511889863,0.10652249393044622,0.2914370180525726,0.37588914235208526,0.38001229618584925
atom.csv,39,3,rbf,39,kmeans,None,Synthetic,1.9204702419956448,0.7036827284105132,0.40709192917856024,0.5158978846254263,0.33639497880246005,0.3481037963017924
atom.csv,20,19,nearest_neighbors,26,kmeans,None,Synthetic,1.5350674340006663,0.5521745932415519,0.10334266070107175,0.293076380324069,0.3743804686790091,0.3784953469757125
atom.csv,23,29,rbf,12,kmeans,None,Synthetic,3.9171564519929234,0.7607259073842303,0.5211792834040324,0.5881008740499192,0.4634609554851762,0.4689317972903877
atom.csv,23,8,nearest_neighbors,17,discretize,None,Synthetic,0.12356264500704128,0.5450062578222779,0.08897351325503991,0.2806665407254645,0.35965937002058285,0.36436383757214424
atom.csv,28,23,rbf,7,kmeans,None,Synthetic,3.0115445970004657,0.6913016270337923,0.38235335137423027,0.502513144530638,0.34031703128870955,0.34905283927708475
atom.csv,36,22,nearest_neighbors,14,discretize,None,Synthetic,0.1357924589974573,0.5283917396745933,0.055667218806562016,0.27596165238821513,0.3185972525552836,0.3257849929688766
atom.csv,17,14,nearest_neighbors,7,discretize,None,Synthetic,0.12499187099456321,0.5744806007509387,0.14805243216294198,0.277507017421449,0.40332183013748246,0.406873939137315
atom.csv,3,22,nearest_neighbors,20,kmeans,None,Synthetic,0.26669260999187827,0.8763579474342928,0.7526389511340305,0.38839013262638067,0.801113554318583,0.8014018108983538
atom.csv,16,18,rbf,4,kmeans,None,Synthetic,1.9455609459982952,0.7708573216520651,0.5414537880927844,0.6048256835871364,0.5098713746371039,0.513405496415177
atom.csv,39,8,nearest_neighbors,27,kmeans,None,Synthetic,0.6078324870031793,0.5265832290362954,0.05204162049927963,0.27672935311766605,0.31261408361063264,0.3203775395243325
atom.csv,17,20,rbf,11,kmeans,None,Synthetic,3.9561510689964052,0.7695463078848561,0.5388287538471493,0.6027415536260874,0.5035003629274843,0.5072798760628598
atom.csv,15,15,nearest_neighbors,36,discretize,None,Synthetic,0.06500952498754486,0.5708072590738423,0.14068999409845304,0.29256903877305607,0.4086114280676977,0.41171887302884397
